170205 170416.130|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\PacketA_2017_Waller\pc2-9.2.5\bin\logs directory.
170205 170416.130|INFO|AWT-EventQueue-0|info|
170205 170416.130|INFO|AWT-EventQueue-0|info|Version 9.2.5 20151014 (Wednesday, October 14th 2015 03:59 UTC) Java ver 1.8.0_111 build 3204 Windows 8.1 6.3 (amd64) 
170205 170416.130|INFO|AWT-EventQueue-0|info|Login: admins (aka root)
170205 170416.130|INFO|AWT-EventQueue-0|startLog|Working directory is C:\PacketA_2017_Waller\pc2-9.2.5\bin
170205 170416.146|INFO|AWT-EventQueue-0|startLog|Process id is 8116@Mellen
170205 170416.146|INFO|AWT-EventQueue-0|info|Contacting server at localhost:50002 as ADMINISTRATOR0 @ site 0
170205 170416.146|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from ADMINISTRATOR0 @ site 0
170205 170416.146|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #2 ADMINISTRATOR0 @ site 0 -> SERVER0 @ site 0
170205 170416.161|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #2 ADMINISTRATOR0 @ site 0 -> SERVER0 @ site 0
170205 170416.161|INFO|Thread-6|run|send(Serializable)
170205 170416.161|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
170205 170416.474|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
170205 170416.505|INFO|Thread-7|info| receiveObject(S) start got Packet[LOGIN_FAILED] #3 SERVER0 @ site 1 -> ADMINISTRATOR0 @ site 0
170205 170416.505|INFO|Thread-7|dumpPacket|Packet LOGIN_FAILED (Seq #3 ) recieveObject
170205 170416.505|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170416.505|INFO|Thread-7|dumpPacket|    To: ADMINISTRATOR0 @ site 0
170205 170416.505|INFO|Thread-7|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
170205 170416.505|INFO|Thread-7|info|handlePacket start Packet[LOGIN_FAILED] #3 SERVER0 @ site 1 -> ADMINISTRATOR0 @ site 0
170205 170416.505|INFO|Thread-7|dumpPacket|Packet LOGIN_FAILED (Seq #3 ) handlePacket
170205 170416.505|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 170416.505|INFO|Thread-7|dumpPacket|    To: ADMINISTRATOR0 @ site 0
170205 170416.505|INFO|Thread-7|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
170205 170416.505|INFO|Thread-7|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #3 SERVER0 @ site 1 -> ADMINISTRATOR0 @ site 0
