170209 123124.260|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\PacketB_Magnolia Student Info and PC Squared\pc2-9.2.5\bin\logs directory.
170209 123124.260|INFO|AWT-EventQueue-0|info|
170209 123124.260|INFO|AWT-EventQueue-0|info|Version 9.2.5 20151014 (Wednesday, October 14th 2015 03:59 UTC) Java ver 1.8.0_111 build 3204 Windows 8.1 6.3 (amd64) 
170209 123124.276|INFO|AWT-EventQueue-0|info|Login: root (aka administrator1)
170209 123124.276|INFO|AWT-EventQueue-0|startLog|Working directory is C:\PacketB_Magnolia Student Info and PC Squared\pc2-9.2.5\bin
170209 123124.276|INFO|AWT-EventQueue-0|startLog|Process id is 3376@Mellen
170209 123124.276|INFO|AWT-EventQueue-0|info|Contacting server at localhost:50002 as ADMINISTRATOR1 @ site 0
170209 123124.276|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from ADMINISTRATOR1 @ site 0
170209 123124.276|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #2 ADMINISTRATOR1 @ site 0 -> SERVER0 @ site 0
170209 123124.291|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #2 ADMINISTRATOR1 @ site 0 -> SERVER0 @ site 0
170209 123124.291|INFO|Thread-6|run|send(Serializable)
170209 123124.291|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
170209 123124.463|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
170209 123124.526|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
170209 123124.557|INFO|Thread-7|info| receiveObject(S) start got Packet[LOGIN] #4 SERVER0 @ site 1 -> SERVER0 @ site 0
170209 123124.557|INFO|Thread-7|dumpPacket|Packet LOGIN (Seq #4 ) recieveObject
170209 123124.557|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 10.252.65.255) (Contest Id: Default-3425878675268062453)
170209 123124.557|INFO|Thread-7|dumpPacket|    To: SERVER0 @ site 0
170209 123124.557|INFO|Thread-7|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@41903bb
170209 123124.557|INFO|Thread-7|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/127.0.0.1,port=60658,localport=50002]--332917617616310735
170209 123124.557|INFO|Thread-7|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
170209 123124.557|INFO|Thread-7|info|handlePacket start Packet[LOGIN] #4 SERVER0 @ site 1 -> SERVER0 @ site 0
170209 123124.557|INFO|Thread-7|dumpPacket|Packet LOGIN (Seq #4 ) handlePacket
170209 123124.557|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 10.252.65.255) (Contest Id: Default-3425878675268062453)
170209 123124.557|INFO|Thread-7|dumpPacket|    To: SERVER0 @ site 0
170209 123124.557|INFO|Thread-7|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@41903bb
170209 123124.557|INFO|Thread-7|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/127.0.0.1,port=60658,localport=50002]--332917617616310735
170209 123124.557|INFO|Thread-7|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
170209 123124.557|INFO|Thread-7|info|Note: got a LOGIN packet before this site was logged in Packet[LOGIN] #4 SERVER0 @ site 1 -> SERVER0 @ site 0
170209 123124.557|INFO|Thread-7|info|handlePacket end Packet[LOGIN] #4 SERVER0 @ site 1 -> SERVER0 @ site 0
170209 123124.557|INFO|Thread-7|info| receiveObject(S) end   got Packet[LOGIN] #4 SERVER0 @ site 1 -> SERVER0 @ site 0
170209 123124.774|INFO|Thread-8|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #3 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
170209 123124.775|INFO|Thread-8|dumpPacket|Packet LOGIN_SUCCESS (Seq #3 ) recieveObject
170209 123124.776|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 10.252.65.255) (Contest Id: Default-3425878675268062453)
170209 123124.777|INFO|Thread-8|dumpPacket|    To: ADMINISTRATOR1 @ site 1
170209 123124.778|INFO|Thread-8|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@541d942d
170209 123124.779|INFO|Thread-8|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@5ada70de
170209 123124.780|INFO|Thread-8|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@5ee5ff5d
170209 123124.780|INFO|Thread-8|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
170209 123124.781|INFO|Thread-8|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@1be77ae5
170209 123124.781|INFO|Thread-8|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@23633948
170209 123124.782|INFO|Thread-8|dumpPacket|   key: CONTEST_IDENTIFIER is: java.lang.String Default-3425878675268062453
170209 123124.783|INFO|Thread-8|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@2ab6e17a
170209 123124.784|INFO|Thread-8|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@5bd8fc66
170209 123124.784|INFO|Thread-8|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@7bc885aa
170209 123124.785|INFO|Thread-8|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170209 123124.785|INFO|Thread-8|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@415b4ae2
170209 123124.787|INFO|Thread-8|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1486665084416,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2017,MONTH=1,WEEK_OF_YEAR=6,WEEK_OF_MONTH=2,DAY_OF_MONTH=9,DAY_OF_YEAR=40,DAY_OF_WEEK=5,DAY_OF_WEEK_IN_MONTH=2,AM_PM=1,HOUR=6,HOUR_OF_DAY=18,MINUTE=31,SECOND=24,MILLISECOND=416,ZONE_OFFSET=0,DST_OFFSET=0]
170209 123124.788|INFO|Thread-8|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@5cfbde82
170209 123124.789|INFO|Thread-8|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
170209 123124.790|INFO|Thread-8|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@40dc32b7
170209 123124.790|INFO|Thread-8|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@7f861ad3
170209 123124.791|INFO|Thread-8|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default-4573646733056024069
170209 123124.792|INFO|Thread-8|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@6491439b
170209 123124.792|INFO|Thread-8|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@669c8e45
170209 123124.793|INFO|Thread-8|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@47f441ab
170209 123124.795|INFO|Thread-8|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@8eb9b04
170209 123124.796|INFO|Thread-8|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@66888c19
170209 123124.797|INFO|Thread-8|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@64e4d82b
170209 123124.798|INFO|Thread-8|info|handlePacket start Packet[LOGIN_SUCCESS] #3 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
170209 123124.798|INFO|Thread-8|dumpPacket|Packet LOGIN_SUCCESS (Seq #3 ) handlePacket
170209 123124.799|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 10.252.65.255) (Contest Id: Default-3425878675268062453)
170209 123124.800|INFO|Thread-8|dumpPacket|    To: ADMINISTRATOR1 @ site 1
170209 123124.801|INFO|Thread-8|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@541d942d
170209 123124.802|INFO|Thread-8|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@5ada70de
170209 123124.802|INFO|Thread-8|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@5ee5ff5d
170209 123124.803|INFO|Thread-8|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
170209 123124.804|INFO|Thread-8|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@1be77ae5
170209 123124.804|INFO|Thread-8|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@23633948
170209 123124.805|INFO|Thread-8|dumpPacket|   key: CONTEST_IDENTIFIER is: java.lang.String Default-3425878675268062453
170209 123124.806|INFO|Thread-8|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@2ab6e17a
170209 123124.806|INFO|Thread-8|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@5bd8fc66
170209 123124.807|INFO|Thread-8|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@7bc885aa
170209 123124.807|INFO|Thread-8|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170209 123124.808|INFO|Thread-8|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@415b4ae2
170209 123124.809|INFO|Thread-8|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1486665084416,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2017,MONTH=1,WEEK_OF_YEAR=6,WEEK_OF_MONTH=2,DAY_OF_MONTH=9,DAY_OF_YEAR=40,DAY_OF_WEEK=5,DAY_OF_WEEK_IN_MONTH=2,AM_PM=1,HOUR=6,HOUR_OF_DAY=18,MINUTE=31,SECOND=24,MILLISECOND=416,ZONE_OFFSET=0,DST_OFFSET=0]
170209 123124.810|INFO|Thread-8|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@5cfbde82
170209 123124.810|INFO|Thread-8|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
170209 123124.811|INFO|Thread-8|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@40dc32b7
170209 123124.812|INFO|Thread-8|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@7f861ad3
170209 123124.812|INFO|Thread-8|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default-4573646733056024069
170209 123124.813|INFO|Thread-8|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@6491439b
170209 123124.813|INFO|Thread-8|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@669c8e45
170209 123124.814|INFO|Thread-8|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@47f441ab
170209 123124.815|INFO|Thread-8|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@8eb9b04
170209 123124.815|INFO|Thread-8|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@66888c19
170209 123124.816|INFO|Thread-8|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@64e4d82b
170209 123216.908|INFO|Thread-9|run|send(Serializable)
170209 123217.143|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
170209 123237.259|INFO|Thread-11|run|send(Serializable)
170209 123237.447|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
