170205 173029.081|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\PacketA_2017_Waller\pc2-9.2.5\bin\logs directory.
170205 173029.081|INFO|AWT-EventQueue-0|info|
170205 173029.081|INFO|AWT-EventQueue-0|info|Version 9.2.5 20151014 (Wednesday, October 14th 2015 03:59 UTC) Java ver 1.8.0_111 build 3204 Windows 8.1 6.3 (amd64) 
170205 173029.081|INFO|AWT-EventQueue-0|info|Login: judge1 (aka judge1)
170205 173029.096|INFO|AWT-EventQueue-0|startLog|Working directory is C:\PacketA_2017_Waller\pc2-9.2.5\bin
170205 173029.096|INFO|AWT-EventQueue-0|startLog|Process id is 8024@Mellen
170205 173029.096|INFO|AWT-EventQueue-0|info|Contacting server at localhost:50002 as JUDGE1 @ site 0
170205 173029.096|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from JUDGE1 @ site 0
170205 173029.112|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 JUDGE1 @ site 0 -> SERVER0 @ site 0
170205 173029.127|INFO|Thread-4|run|send(Serializable)
170205 173029.127|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 JUDGE1 @ site 0 -> SERVER0 @ site 0
170205 173029.127|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
170205 173029.440|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
170205 173029.612|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
170205 173029.628|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #168 SERVER0 @ site 1 -> JUDGE1 @ site 1
170205 173029.628|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #168 ) recieveObject
170205 173029.628|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173029.628|INFO|Thread-5|dumpPacket|    To: JUDGE1 @ site 1
170205 173029.628|INFO|Thread-5|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@5beb15dc
