170205 173041.498|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\PacketA_2017_Waller\pc2-9.2.5\bin\logs directory.
170205 173041.514|INFO|AWT-EventQueue-0|info|
170205 173041.514|INFO|AWT-EventQueue-0|info|Version 9.2.5 20151014 (Wednesday, October 14th 2015 03:59 UTC) Java ver 1.8.0_111 build 3204 Windows 8.1 6.3 (amd64) 
170205 173041.514|INFO|AWT-EventQueue-0|info|Login: team1 (aka team1)
170205 173041.514|INFO|AWT-EventQueue-0|startLog|Working directory is C:\PacketA_2017_Waller\pc2-9.2.5\bin
170205 173041.514|INFO|AWT-EventQueue-0|startLog|Process id is 11660@Mellen
170205 173041.514|INFO|AWT-EventQueue-0|info|Contacting server at localhost:50002 as TEAM1 @ site 0
170205 173041.514|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM1 @ site 0
170205 173041.529|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM1 @ site 0 -> SERVER0 @ site 0
170205 173041.545|INFO|Thread-4|run|send(Serializable)
170205 173041.545|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM1 @ site 0 -> SERVER0 @ site 0
170205 173041.560|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
170205 173041.873|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
170205 173041.889|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_FAILED] #171 SERVER0 @ site 1 -> TEAM1 @ site 0
170205 173041.889|INFO|Thread-5|dumpPacket|Packet LOGIN_FAILED (Seq #171 ) recieveObject
170205 173041.889|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173041.889|INFO|Thread-5|dumpPacket|    To: TEAM1 @ site 0
170205 173041.904|INFO|Thread-5|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Invalid password
170205 173041.904|INFO|Thread-5|info|handlePacket start Packet[LOGIN_FAILED] #171 SERVER0 @ site 1 -> TEAM1 @ site 0
170205 173041.904|INFO|Thread-5|dumpPacket|Packet LOGIN_FAILED (Seq #171 ) handlePacket
170205 173041.904|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173041.904|INFO|Thread-5|dumpPacket|    To: TEAM1 @ site 0
170205 173041.904|INFO|Thread-5|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Invalid password
170205 173041.904|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #171 SERVER0 @ site 1 -> TEAM1 @ site 0
