170205 173046.014|CONFIG|Thread-7|setFileHandlers|Now logging to C:\PacketA_2017_Waller\pc2-9.2.5\bin\logs directory.
170205 173046.014|INFO|Thread-7|info|
170205 173046.014|INFO|Thread-7|info|Version 9.2.5 20151014 (Wednesday, October 14th 2015 03:59 UTC) Java ver 1.8.0_111 build 3204 Windows 8.1 6.3 (amd64) 
170205 173046.014|INFO|Thread-7|info|Login: team1 (aka team1)
170205 173046.014|INFO|Thread-7|startLog|Working directory is C:\PacketA_2017_Waller\pc2-9.2.5\bin
170205 173046.014|INFO|Thread-7|startLog|Process id is 11660@Mellen
170205 173046.014|INFO|Thread-7|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
170205 173046.045|INFO|Thread-7|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
170205 173046.514|INFO|Thread-7|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
170205 173046.514|INFO|Thread-7|info|handlePacket end Packet[LOGIN_SUCCESS] #172 SERVER0 @ site 1 -> TEAM1 @ site 1
170205 173046.514|INFO|Thread-7|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #172 SERVER0 @ site 1 -> TEAM1 @ site 1
170205 173106.554|INFO|Thread-8|info| receiveObject(S) start got Packet[CLOCK_STARTED] #174 SERVER0 @ site 1 -> SERVER0 @ site 0
170205 173106.570|INFO|Thread-8|dumpPacket|Packet CLOCK_STARTED (Seq #174 ) recieveObject
170205 173106.586|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173106.586|INFO|Thread-8|dumpPacket|    To: SERVER0 @ site 0
170205 173106.617|INFO|Thread-8|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
170205 173106.617|INFO|Thread-8|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1486337466492,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2017,MONTH=1,WEEK_OF_YEAR=6,WEEK_OF_MONTH=2,DAY_OF_MONTH=5,DAY_OF_YEAR=36,DAY_OF_WEEK=1,DAY_OF_WEEK_IN_MONTH=1,AM_PM=1,HOUR=11,HOUR_OF_DAY=23,MINUTE=31,SECOND=6,MILLISECOND=492,ZONE_OFFSET=0,DST_OFFSET=0]
170205 173106.632|INFO|Thread-8|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170205 173106.632|INFO|Thread-8|info|handlePacket start Packet[CLOCK_STARTED] #174 SERVER0 @ site 1 -> SERVER0 @ site 0
170205 173106.632|INFO|Thread-8|dumpPacket|Packet CLOCK_STARTED (Seq #174 ) handlePacket
170205 173106.632|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.13) (Contest Id: Default-3425878675268062453)
170205 173106.632|INFO|Thread-8|dumpPacket|    To: SERVER0 @ site 0
170205 173106.632|INFO|Thread-8|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
