170210 173818.019|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\Duncan\Desktop\PacketB_Magnolia Student Info and PC Squared\pc2-9.2.5\bin\logs directory.
170210 173818.019|INFO|AWT-EventQueue-0|info|
170210 173818.020|INFO|AWT-EventQueue-0|info|Version 9.2.5 20151014 (Wednesday, October 14th 2015 03:59 UTC) Java ver 1.8.0_77 build 3204 Windows 10 10.0 (amd64) 
170210 173818.020|INFO|AWT-EventQueue-0|info|Login: team24 (aka team24)
170210 173818.021|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\Duncan\Desktop\PacketB_Magnolia Student Info and PC Squared\pc2-9.2.5\bin
170210 173818.064|INFO|AWT-EventQueue-0|startLog|Process id is 9948@LAPTOP-C60AQ1QG
170210 173818.064|INFO|AWT-EventQueue-0|info|Contacting server at 192.168.1.145:50002 as TEAM24 @ site 0
170210 173818.064|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM24 @ site 0
170210 173818.070|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM24 @ site 0 -> SERVER0 @ site 0
170210 173818.072|INFO|Thread-4|run|send(Serializable)
170210 173818.073|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM24 @ site 0 -> SERVER0 @ site 0
170210 173818.074|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
170210 173818.855|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
170210 173819.076|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #765 SERVER0 @ site 1 -> TEAM24 @ site 1
170210 173819.076|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #765 ) recieveObject
170210 173819.077|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (Mellen @ 192.168.1.145) (Contest Id: Default-3425878675268062453)
170210 173819.077|INFO|Thread-5|dumpPacket|    To: TEAM24 @ site 1
170210 173819.077|INFO|Thread-5|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@641ddbb7
170210 173819.077|INFO|Thread-5|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
170210 173819.078|INFO|Thread-5|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1486769889320,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2017,MONTH=1,WEEK_OF_YEAR=6,WEEK_OF_MONTH=2,DAY_OF_MONTH=10,DAY_OF_YEAR=41,DAY_OF_WEEK=6,DAY_OF_WEEK_IN_MONTH=2,AM_PM=1,HOUR=11,HOUR_OF_DAY=23,MINUTE=38,SECOND=9,MILLISECOND=320,ZONE_OFFSET=0,DST_OFFSET=0]
170210 173819.078|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@6ada3944
170210 173819.078|INFO|Thread-5|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@6ee5b0c7
170210 173819.079|INFO|Thread-5|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@2be7337f
170210 173819.079|INFO|Thread-5|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default-4573646733056024069
170210 173819.079|INFO|Thread-5|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@212d95d7
170210 173819.079|INFO|Thread-5|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@1a8698af
170210 173819.079|INFO|Thread-5|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@59a660b0
170210 173819.079|INFO|Thread-5|dumpPacket|   key: CONTEST_IDENTIFIER is: java.lang.String Default-3425878675268062453
170210 173819.080|INFO|Thread-5|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@4bc8cc30
170210 173819.080|INFO|Thread-5|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
