170205 170347.299|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\PacketA_2017_Waller\pc2-9.2.5\bin\profiles\Pc860fdf7-b6ef-4a44-854c-d7e7bb3968ca\logs directory.
170205 170347.299|INFO|AWT-EventQueue-0|info|
170205 170347.299|INFO|AWT-EventQueue-0|info|Version 9.2.5 20151014 (Wednesday, October 14th 2015 03:59 UTC) Java ver 1.8.0_111 build 3204 Windows 8.1 6.3 (amd64) 
170205 170347.299|INFO|AWT-EventQueue-0|info|Login: server0 (aka server0)
170205 170347.315|INFO|AWT-EventQueue-0|startLog|Working directory is C:\PacketA_2017_Waller\pc2-9.2.5\bin
170205 170347.315|INFO|AWT-EventQueue-0|startLog|Process id is 10520@Mellen
170205 170347.315|INFO|AWT-EventQueue-0|info|Attempting to load UI class edu.csus.ecs.pc2.ui.server.ServerView
170205 170347.362|INFO|AWT-EventQueue-0|info|Loaded UI class edu.csus.ecs.pc2.ui.server.ServerView
170205 170357.499|INFO|Thread-4|info|connectionEstablished: Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170409.865|INFO|Thread-5|info|receiveObject start got Packet[LOGIN_REQUEST] #1 ADMINISTRATOR0 @ site 0 -> SERVER0 @ site 0
170205 170409.897|INFO|Thread-5|info|receiveObject Packet[LOGIN_REQUEST] #1 ADMINISTRATOR0 @ site 0 -> SERVER0 @ site 0
170205 170410.037|INFO|Thread-5|info|sendToClient (send) ADMINISTRATOR0 @ site 0 Packet[LOGIN_FAILED] #2 SERVER0 @ site 1 -> ADMINISTRATOR0 @ site 0 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
170205 170410.100|INFO|Thread-5|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170205 170416.193|INFO|Thread-7|info|receiveObject start got Packet[LOGIN_REQUEST] #2 ADMINISTRATOR0 @ site 0 -> SERVER0 @ site 0
170205 170416.193|INFO|Thread-7|info|receiveObject Packet[LOGIN_REQUEST] #2 ADMINISTRATOR0 @ site 0 -> SERVER0 @ site 0
170205 170416.458|INFO|Thread-7|info|sendToClient (send) ADMINISTRATOR0 @ site 0 Packet[LOGIN_FAILED] #3 SERVER0 @ site 1 -> ADMINISTRATOR0 @ site 0 Socket[addr=/127.0.0.1,port=51818,localport=50002]-2337819247435421909
