170209 123053.161|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\PacketB_Magnolia Student Info and PC Squared\pc2-9.2.5\bin\profiles\Pc860fdf7-b6ef-4a44-854c-d7e7bb3968ca\logs directory.
170209 123053.161|INFO|AWT-EventQueue-0|info|
170209 123053.161|INFO|AWT-EventQueue-0|info|Version 9.2.5 20151014 (Wednesday, October 14th 2015 03:59 UTC) Java ver 1.8.0_111 build 3204 Windows 8.1 6.3 (amd64) 
170209 123053.161|INFO|AWT-EventQueue-0|info|Login: server0 (aka server0)
170209 123053.176|INFO|AWT-EventQueue-0|startLog|Working directory is C:\PacketB_Magnolia Student Info and PC Squared\pc2-9.2.5\bin
170209 123053.176|INFO|AWT-EventQueue-0|startLog|Process id is 6424@Mellen
170209 123053.176|INFO|AWT-EventQueue-0|info|Attempting to load UI class edu.csus.ecs.pc2.ui.server.ServerView
170209 123053.223|INFO|AWT-EventQueue-0|info|Loaded UI class edu.csus.ecs.pc2.ui.server.ServerView
170209 123102.826|INFO|Thread-4|info|connectionEstablished: Socket[addr=/127.0.0.1,port=60658,localport=50002]--332917617616310735
170209 123120.462|INFO|Thread-5|info|receiveObject start got Packet[LOGIN_REQUEST] #1 ADMINISTRATOR1 @ site 0 -> SERVER0 @ site 0
170209 123120.462|INFO|Thread-5|info|receiveObject Packet[LOGIN_REQUEST] #1 ADMINISTRATOR1 @ site 0 -> SERVER0 @ site 0
170209 123120.508|INFO|Thread-5|info|sendToClient (send) ADMINISTRATOR1 @ site 0 Packet[LOGIN_FAILED] #2 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 0 Socket[addr=/127.0.0.1,port=60658,localport=50002]--332917617616310735
170209 123120.508|INFO|Thread-5|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170209 123124.307|INFO|Thread-7|info|receiveObject start got Packet[LOGIN_REQUEST] #2 ADMINISTRATOR1 @ site 0 -> SERVER0 @ site 0
170209 123124.307|INFO|Thread-7|info|receiveObject Packet[LOGIN_REQUEST] #2 ADMINISTRATOR1 @ site 0 -> SERVER0 @ site 0
170209 123124.401|DEBUG|Thread-7|logDebugMessage|Login Event NEW_LOGIN ADMINISTRATOR1 @ site 1
170209 123124.401|INFO|Thread-7|info|LOGIN logged in ADMINISTRATOR1 @ site 1 at Socket[addr=/127.0.0.1,port=60658,localport=50002]--332917617616310735
170209 123124.416|INFO|Thread-7|info|sendToClient b4 to ADMINISTRATOR1 @ site 1 Packet[LOGIN_SUCCESS] #3 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
170209 123124.416|INFO|Thread-7|info|sendToClient SERVER0 @ site 1 Socket[addr=/127.0.0.1,port=60658,localport=50002]--332917617616310735
170209 123124.416|INFO|Thread-7|info|sendToClient (send) ADMINISTRATOR1 @ site 1 Packet[LOGIN_SUCCESS] #3 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1 Socket[addr=/127.0.0.1,port=60658,localport=50002]--332917617616310735
170209 123124.432|INFO|Thread-7|info|sendToClient af to ADMINISTRATOR1 @ site 1 Packet[LOGIN_SUCCESS] #3 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
170209 123124.432|INFO|Thread-7|info|sendToClient (send) SERVER0 @ site 0 Packet[LOGIN] #4 SERVER0 @ site 1 -> SERVER0 @ site 0 Socket[addr=/127.0.0.1,port=60658,localport=50002]--332917617616310735
170209 123124.764|INFO|Thread-7|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170209 123216.955|INFO|Thread-10|info|receiveObject start got Packet[UPDATE_SETTING] #3 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123216.955|INFO|Thread-10|info|receiveObject Packet[UPDATE_SETTING] #3 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123216.955|INFO|Thread-10|dumpPacket|Packet UPDATE_SETTING (Seq #3 ) Packet Contest/Profile Identifer does not match contest's Default-3425878675268062453
170209 123216.955|INFO|Thread-10|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 10.252.65.255) (Contest Id: Default-3425878675268062453)
170209 123216.955|INFO|Thread-10|dumpPacket|    To: SERVER0 @ site 1
170209 123216.955|INFO|Thread-10|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account woods4
170209 123216.955|INFO|Thread-10|info|handlePacket start Packet[UPDATE_SETTING] #3 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123216.955|INFO|Thread-10|dumpPacket|Packet UPDATE_SETTING (Seq #3 ) handlePacket
170209 123216.971|INFO|Thread-10|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 10.252.65.255) (Contest Id: Default-3425878675268062453)
170209 123216.971|INFO|Thread-10|dumpPacket|    To: SERVER0 @ site 1
170209 123216.971|INFO|Thread-10|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account woods4
170209 123216.971|DEBUG|Thread-10|logDebugMessage|Account Event CHANGED TEAM2 @ site 1
170209 123216.971|INFO|Thread-10|info|sendToClient b4 to TEAM2 @ site 1 Packet[UPDATE_SETTING] #5 SERVER0 @ site 1 -> TEAM2 @ site 1
170209 123217.065|WARNING|Thread-10|logWarning|Unable to send packet to TEAM2 @ site 1 not logged in.  Packet saved in: profiles\Pc860fdf7-b6ef-4a44-854c-d7e7bb3968ca\packets\packet8316.4.packet
170209 123217.065|INFO|Thread-10|info|sendToClient af to TEAM2 @ site 1 Packet[UPDATE_SETTING] #5 SERVER0 @ site 1 -> TEAM2 @ site 1
170209 123217.127|INFO|Thread-10|info|sendToClient (send) TEAM2 @ site 1 Packet[UPDATE_SETTING] #5 SERVER0 @ site 1 -> TEAM2 @ site 1 Socket[addr=/127.0.0.1,port=60658,localport=50002]--332917617616310735
170209 123217.143|INFO|Thread-10|info|handlePacket end Packet[UPDATE_SETTING] #3 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123217.143|INFO|Thread-10|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170209 123237.306|INFO|Thread-12|info|receiveObject start got Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123237.306|INFO|Thread-12|info|receiveObject Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123237.306|INFO|Thread-12|dumpPacket|Packet UPDATE_SETTING (Seq #4 ) Packet Contest/Profile Identifer does not match contest's Default-3425878675268062453
170209 123237.306|INFO|Thread-12|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 10.252.65.255) (Contest Id: Default-3425878675268062453)
170209 123237.306|INFO|Thread-12|dumpPacket|    To: SERVER0 @ site 1
170209 123237.306|INFO|Thread-12|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account dayton
170209 123237.306|INFO|Thread-12|info|handlePacket start Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123237.306|INFO|Thread-12|dumpPacket|Packet UPDATE_SETTING (Seq #4 ) handlePacket
170209 123237.322|INFO|Thread-12|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 10.252.65.255) (Contest Id: Default-3425878675268062453)
170209 123237.322|INFO|Thread-12|dumpPacket|    To: SERVER0 @ site 1
170209 123237.322|INFO|Thread-12|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account dayton
170209 123237.322|DEBUG|Thread-12|logDebugMessage|Account Event CHANGED TEAM3 @ site 1
170209 123237.322|INFO|Thread-12|info|sendToClient b4 to TEAM3 @ site 1 Packet[UPDATE_SETTING] #7 SERVER0 @ site 1 -> TEAM3 @ site 1
170209 123237.368|WARNING|Thread-12|logWarning|Unable to send packet to TEAM3 @ site 1 not logged in.  Packet saved in: profiles\Pc860fdf7-b6ef-4a44-854c-d7e7bb3968ca\packets\packet8316.5.packet
170209 123237.368|INFO|Thread-12|info|sendToClient af to TEAM3 @ site 1 Packet[UPDATE_SETTING] #7 SERVER0 @ site 1 -> TEAM3 @ site 1
170209 123237.431|INFO|Thread-12|info|sendToClient (send) TEAM3 @ site 1 Packet[UPDATE_SETTING] #7 SERVER0 @ site 1 -> TEAM3 @ site 1 Socket[addr=/127.0.0.1,port=60658,localport=50002]--332917617616310735
170209 123237.447|INFO|Thread-12|info|handlePacket end Packet[UPDATE_SETTING] #4 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123237.447|INFO|Thread-12|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170209 123322.951|INFO|Thread-14|info|receiveObject start got Packet[UPDATE_SETTING] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123322.951|INFO|Thread-14|info|receiveObject Packet[UPDATE_SETTING] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123322.951|INFO|Thread-14|dumpPacket|Packet UPDATE_SETTING (Seq #5 ) Packet Contest/Profile Identifer does not match contest's Default-3425878675268062453
170209 123322.951|INFO|Thread-14|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 10.252.65.255) (Contest Id: Default-3425878675268062453)
170209 123322.967|INFO|Thread-14|dumpPacket|    To: SERVER0 @ site 1
170209 123322.967|INFO|Thread-14|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account conroe
170209 123322.967|INFO|Thread-14|info|handlePacket start Packet[UPDATE_SETTING] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123322.967|INFO|Thread-14|dumpPacket|Packet UPDATE_SETTING (Seq #5 ) handlePacket
170209 123322.967|INFO|Thread-14|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 10.252.65.255) (Contest Id: Default-3425878675268062453)
170209 123322.967|INFO|Thread-14|dumpPacket|    To: SERVER0 @ site 1
170209 123322.967|INFO|Thread-14|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account conroe
170209 123322.967|DEBUG|Thread-14|logDebugMessage|Account Event CHANGED TEAM4 @ site 1
170209 123322.967|INFO|Thread-14|info|sendToClient b4 to TEAM4 @ site 1 Packet[UPDATE_SETTING] #9 SERVER0 @ site 1 -> TEAM4 @ site 1
170209 123323.014|WARNING|Thread-14|logWarning|Unable to send packet to TEAM4 @ site 1 not logged in.  Packet saved in: profiles\Pc860fdf7-b6ef-4a44-854c-d7e7bb3968ca\packets\packet8316.6.packet
170209 123323.014|INFO|Thread-14|info|sendToClient af to TEAM4 @ site 1 Packet[UPDATE_SETTING] #9 SERVER0 @ site 1 -> TEAM4 @ site 1
170209 123323.076|INFO|Thread-14|info|sendToClient (send) TEAM4 @ site 1 Packet[UPDATE_SETTING] #9 SERVER0 @ site 1 -> TEAM4 @ site 1 Socket[addr=/127.0.0.1,port=60658,localport=50002]--332917617616310735
170209 123323.092|INFO|Thread-14|info|handlePacket end Packet[UPDATE_SETTING] #5 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123323.092|INFO|Thread-14|info|receiveObject end   got edu.csus.ecs.pc2.core.packet.Packet
170209 123350.579|INFO|Thread-16|info|receiveObject start got Packet[UPDATE_SETTING] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123350.579|INFO|Thread-16|info|receiveObject Packet[UPDATE_SETTING] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123350.579|INFO|Thread-16|dumpPacket|Packet UPDATE_SETTING (Seq #6 ) Packet Contest/Profile Identifer does not match contest's Default-3425878675268062453
170209 123350.579|INFO|Thread-16|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 10.252.65.255) (Contest Id: Default-3425878675268062453)
170209 123350.595|INFO|Thread-16|dumpPacket|    To: SERVER0 @ site 1
170209 123350.595|INFO|Thread-16|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account Tomball
170209 123350.595|INFO|Thread-16|info|handlePacket start Packet[UPDATE_SETTING] #6 ADMINISTRATOR1 @ site 1 -> SERVER0 @ site 1
170209 123350.595|INFO|Thread-16|dumpPacket|Packet UPDATE_SETTING (Seq #6 ) handlePacket
170209 123350.610|INFO|Thread-16|dumpPacket|  From: ADMINISTRATOR1 @ site 1 (Mellen @ 10.252.65.255) (Contest Id: Default-3425878675268062453)
170209 123350.610|INFO|Thread-16|dumpPacket|    To: SERVER0 @ site 1
170209 123350.610|INFO|Thread-16|dumpPacket|   key: ACCOUNT is: edu.csus.ecs.pc2.core.model.Account Tomball
170209 123350.610|DEBUG|Thread-16|logDebugMessage|Account Event CHANGED TEAM5 @ site 1
170209 123350.610|INFO|Thread-16|info|sendToClient b4 to TEAM5 @ site 1 Packet[UPDATE_SETTING] #11 SERVER0 @ site 1 -> TEAM5 @ site 1
170209 123350.641|WARNING|Thread-16|logWarning|Unable to send packet to TEAM5 @ site 1 not logged in.  Packet saved in: profiles\Pc860fdf7-b6ef-4a44-854c-d7e7bb3968ca\packets\packet8316.7.packet
